iteration,total_loss,policy_loss,value_loss,positions,positions_per_second,replay_size,black_wins,white_wins,draws
65,1.5856892049312592,1.2004090142250061,0.385280192643404,937,2.594942953983025,69483,25,7,0
66,1.5735750472545624,1.1936976933479309,0.3798773527145386,1019,2.2943766810768516,70502,25,7,0
67,1.577143229842186,1.1961257940530776,0.3810174357891083,1099,2.178142760995843,71601,27,5,0
68,1.5773915731906891,1.196660162806511,0.38073140770196917,1171,2.096057804901039,72772,23,9,0
69,1.5790730541944504,1.1983295786380768,0.38074347212910653,1006,2.1435030854826964,73778,28,4,0
70,1.583652501106262,1.1962947452068329,0.38735776394605637,957,2.074860427758095,74735,27,5,0
71,1.5819863593578338,1.195807678103447,0.386178679689765,1054,2.178884684396933,75789,28,4,0
72,1.576250268816948,1.1929201036691666,0.3833301632106304,1039,2.2495346656668205,76828,25,7,0
73,1.585948126912117,1.1993645441532135,0.38658358082175254,1135,1.957541381934926,77963,21,11,0
74,1.5820540690422058,1.1958074486255645,0.38624661982059477,1109,2.161754051887918,79072,29,3,0
75,1.5974518477916717,1.207454479932785,0.38999736204743385,1012,2.0278542867579112,80084,24,8,0
76,1.5894710278511048,1.1992304420471191,0.39024058148264884,1030,2.31129055617458,81114,24,8,0
77,1.5806422859430314,1.1962752693891525,0.38436701253056527,920,2.486002299070736,82034,28,4,0
78,1.5912490206956864,1.2021621191501617,0.3890868978202343,959,2.274891459264308,82993,25,7,0
79,1.575632957816124,1.1920525431632996,0.38358041405677795,1025,2.053583470376866,84018,25,7,0
80,1.5915674310922623,1.1969855368137359,0.39458189368247987,893,2.489108873437463,84911,23,9,0
81,1.5882158368825912,1.1980205380916595,0.39019529804587366,1122,2.303299068236729,86033,24,8,0
82,1.593497319817543,1.1988147765398025,0.3946825437247753,1099,2.1332436752437127,87132,21,11,0
83,1.5944801205396653,1.2012077021598815,0.3932724170386791,1071,2.072304359777488,88203,27,5,0
84,1.5915269786119461,1.202964547276497,0.38856243386864664,975,2.1543368980706235,89178,27,5,0
85,1.5869966268539428,1.1969059532880784,0.39009067580103873,1080,2.2552859878248976,90258,28,4,0
86,1.579661335349083,1.1914816498756409,0.3881796835362911,1091,2.144222003295683,91349,27,5,0
87,1.5833073234558106,1.193908623456955,0.3893987008929253,1059,2.2047550058039245,92408,29,3,0
88,1.5867800855636596,1.1943572342395783,0.3924228495359421,920,2.2097488385854533,93328,28,4,0
89,1.5812943160533905,1.1905454313755035,0.39074888214468956,947,2.2768139691722684,94275,25,7,0
90,1.5881016266345978,1.1988840347528458,0.3892175892740488,865,2.683114358252855,95140,29,3,0
91,1.5784762871265412,1.1920183688402175,0.38645791709423066,1163,2.1477378129585287,96303,21,11,0
92,1.585036517381668,1.1894686275720596,0.3955678905546665,979,2.324419561422075,97282,23,9,0
93,1.580136644244194,1.1905383521318436,0.3895982921123505,1078,2.1796010704136477,98360,26,6,0
94,1.5878992617130279,1.197711256146431,0.3901880057156086,967,2.39988413698608,99327,31,1,0
95,1.5792396622896194,1.1900456422567367,0.38919402241706846,1061,2.394468293725646,100388,25,7,0
96,1.5838326275348664,1.1961844182014465,0.3876482054591179,1193,2.069986162845153,101581,23,9,0
97,1.5866493856906891,1.1931813114881515,0.3934680722653866,1114,2.2278953675990336,102695,26,6,0
98,1.587022259235382,1.1925232571363449,0.3944989991188049,1015,2.3873701055791408,103710,27,5,0
99,1.5824619233608246,1.1904350578784944,0.3920268650352955,856,2.691130899287992,104566,30,2,0
100,1.5922816890478133,1.2000942647457122,0.392187427431345,919,2.4279861762352732,105485,27,5,0
