iteration,tactical_top1,tactical_oracle_mass,white_safe_top1,white_safe_mass
5,0.9583333333333334,0.7468709535020417,0.8333333333333334,0.8036742185580105
10,0.9583333333333334,0.7208044891136121,0.8333333333333334,0.8138486480440182
15,0.9583333333333334,0.7203748947388225,0.8333333333333334,0.8138045018251895
20,0.9583333333333334,0.7279087005241972,0.8333333333333334,0.81817788108776
25,0.9583333333333334,0.7268373199790163,0.8333333333333334,0.8190635559641756
30,0.9583333333333334,0.7266883786936011,0.8333333333333334,0.8226344682824583
35,0.9583333333333334,0.7337893599169952,0.8333333333333334,0.8237028590540195
40,0.9583333333333334,0.7283051143284501,0.8333333333333334,0.8260792051196644
45,0.9583333333333334,0.7307097727142576,0.8333333333333334,0.8274820863175996
50,0.9583333333333334,0.7367594875882246,0.8333333333333334,0.8291372126519475
55,0.9583333333333334,0.7313056639411851,0.8333333333333334,0.8301658021524156
60,0.9583333333333334,0.730797717132404,0.8333333333333334,0.8302641330594466
65,0.9583333333333334,0.7366557754587925,0.8333333333333334,0.8303791442698462
70,0.9583333333333334,0.7246367677956921,0.8333333333333334,0.8304097066336358
75,0.9583333333333334,0.7332300424109278,0.8333333333333334,0.8308990235622998
80,0.9583333333333334,0.7328457680333481,0.8333333333333334,0.8304995105195464
85,0.9583333333333334,0.7294032558783693,0.8333333333333334,0.8301099178637551
90,0.9583333333333334,0.7292780403465761,0.8333333333333334,0.8312843837600025
95,0.9583333333333334,0.725930551453585,0.8333333333333334,0.8301082881097422
100,0.9583333333333334,0.7280406300683168,0.8333333333333334,0.8303899285757819
